Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Swain,New York,New York,1970.0,650.0,1320.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,35.0,3.0,1.0,130.0,90.0,102.0,72.0,New York,49.0,59.0,100.0,80.0
Thunder Ridge,New York,New York,1270.0,500.0,770.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,30.0,0.0,0.4,100.0,100.0,121.0,60.0,New York,57.91695652173913,57.0,121.0,100.0
Titus Mountain,New York,New York,2025.0,1200.0,825.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,10.0,50.0,3.0,2.0,200.0,150.0,101.0,59.0,New York,39.0,49.0,100.0,70.0
Toggenburg Mountain,New York,New York,2000.0,700.0,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,22.0,2.0,0.4,85.0,0.0,122.0,66.0,New York,55.0,55.0,122.0,73.0
West Mountain,New York,New York,1470.0,1010.0,460.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,29.0,1.0,0.6,124.0,105.0,120.0,58.0,New York,49.0,59.0,120.0,105.0
Whiteface Mountain Resort,New York,New York,4650.0,3430.0,1220.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,12.0,86.0,5.0,2.1,288.0,220.0,122.0,61.0,New York,96.0,96.0,141.0,0.0
Willard Mountain,New York,New York,1415.0,505.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,16.0,0.0,0.4,50.0,35.0,85.0,19.0,New York,46.0,46.0,120.0,35.0
Windham Mountain,New York,New York,3100.0,1600.0,1500.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,5.0,12.0,54.0,6.0,2.0,285.0,280.0,123.0,59.0,New York,85.0,95.0,130.0,56.0
Woods Valley Ski Area,New York,New York,1400.0,500.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,21.0,0.0,0.3,25.0,16.0,114.7324414715719,55.0,New York,31.0,39.0,120.26086956521739,15.0
Appalachian Ski Mountain,North Carolina,North Carolina,4000.0,365.0,3635.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,12.0,3.0,0.5,27.0,27.0,100.0,57.0,North Carolina,40.0,64.0,100.0,27.0
